1	2	1	4.71
2	1	2	4.71
3	3	2	7.78
4	2	3	7.78
5	4	3	5.55
6	3	4	5.55
7	5	4	8.98
8	4	5	8.98
9	6	5	10.78
10	5	6	10.78
11	7	6	8.3
12	6	7	8.3
13	8	7	9.32
14	7	8	9.32
15	9	8	11.4
16	8	9	11.4
17	10	9	5.9
18	9	10	5.9
19	11	10	3.75
20	10	11	3.75
21	12	11	6.4
22	11	12	6.4
23	13	12	7.23
24	12	13	7.23
25	14	13	6.11
26	13	14	6.11
27	15	14	10.75
28	14	15	10.75
29	16	15	5.42
30	15	16	5.42
31	17	16	7.07
32	16	17	7.07
33	18	17	4.15
34	17	18	4.15
35	19	18	5.17
36	18	19	5.17
37	20	19	4.4
38	19	20	4.4
39	21	20	4
40	20	21	4
41	22	21	5.63
42	21	22	5.63
43	23	22	15.84
44	22	23	15.84
45	24	23	6.34
46	23	24	6.34
47	25	24	4.55
48	24	25	4.55
49	26	25	4.34
50	25	26	4.34
51	27	26	7.05
52	26	27	7.05
53	28	27	8.32
54	27	28	8.32
55	29	28	9.46
56	28	29	9.46
57	30	29	6.03
58	29	30	6.03
59	31	30	3.07
60	30	31	3.07
